truckid,driverid,event,Region,velocity,event_ind,idling_ind
A54,A54,normal,Yishun,17,No,No
A20,A20,normal,Queenstown,27,No,No
A40,A40,overspeed,Woodlands,77,Yes,No
A31,A31,normal,Tampines,22,No,No
A71,A71,normal,Bishan,43,No,No
A50,A50,normal,Sengkang,0,No,Yes
A51,A51,normal,Bukit Panjang,0,No,Yes
A19,A19,normal,Newton,0,No,Yes
A77,A77,normal,Newton,25,No,No
A92,A92,normal,Paya Lebar,0,No,Yes
A89,A89,normal,Yio Chu Kang,38,No,No
A86,A86,normal,Boon Lay,45,No,No
A5,A5,unsafe following distance,Farrer Park,33,Yes,No
A54,A54,normal,Hougang,19,No,No
A48,A48,overspeed,Pasir Ris,77,Yes,No
A2,A2,normal,Choa Chu Kang,50,No,No
A98,A98,normal,Redhill,27,No,No
A10,A10,normal,Simei,0,No,Yes
A12,A12,normal,Admiralty,59,No,No
A43,A43,normal,Admiralty,45,No,No
A65,A65,normal,Paya Lebar,0,No,Yes
A62,A62,normal,Clementi,39,No,No
A94,A94,unsafe following distance,Toa Payoh,0,Yes,Yes
A68,A68,normal,Yishun,51,No,No
A49,A49,lane departure,Serangoon,41,Yes,No
A72,A72,normal,Woodlands,0,No,Yes
A10,A10,normal,Clementi,46,No,No
A68,A68,normal,Bukit Batok,16,No,No
A51,A51,normal,Chai Chee,15,No,No
A7,A7,normal,Marine Parade,40,No,No
A11,A11,normal,Tampines,31,No,No
A8,A8,normal,Yishun,25,No,No
A37,A37,normal,Sembawang,16,No,No
A9,A9,normal,Little India,67,No,No
A34,A34,normal,Yishun,68,No,No
A38,A38,normal,Alexandra,72,No,No
A56,A56,normal,Sembawang,0,No,Yes
A27,A27,normal,Sengkang,18,No,No
A26,A26,normal,Eunos,19,No,No
A58,A58,normal,Little India,39,No,No
A57,A57,normal,Jurong East,16,No,No
A68,A68,normal,Kembangan,28,No,No
A17,A17,normal,Woodlands,16,No,No
A93,A93,normal,Yishun,37,No,No
A37,A37,normal,Novena,18,No,No
A33,A33,normal,Toa Payoh,63,No,No
A33,A33,normal,Simei,34,No,No
A69,A69,normal,Hougang,45,No,No
A22,A22,normal,Serangoon,30,No,No
A98,A98,normal,Toa Payoh,42,No,No
A100,A100,normal,Punggol,0,No,Yes
A15,A15,normal,Bedok,42,No,No
A66,A66,normal,Bukit Merah,39,No,No
A33,A33,normal,Yishun,57,No,No
A15,A15,normal,Yishun,56,No,No
A37,A37,normal,Bukit Gombak,68,No,No
A49,A49,normal,Ang Mo Kio,53,No,No
A50,A50,normal,Punggol,25,No,No
A38,A38,normal,Alexandra,69,No,No
A52,A52,normal,Pasir Ris,71,No,No
A22,A22,normal,Yishun,0,No,Yes
A16,A16,normal,Yio Chu Kang,0,No,Yes
A67,A67,normal,Yishun,42,No,No
A100,A100,normal,Yishun,52,No,No
A39,A39,normal,Tampines,0,No,Yes
A79,A79,normal,Jurong East,70,No,No
A5,A5,normal,Tanglin,50,No,No
A27,A27,normal,Bedok,59,No,No
A12,A12,normal,Yishun,69,No,No
A35,A35,normal,Tampines,0,No,Yes
A20,A20,normal,Clementi,55,No,No
A16,A16,normal,Yishun,37,No,No
A62,A62,normal,Yishun,71,No,No
A99,A99,normal,Bukit Batok,0,No,Yes
A35,A35,normal,Tampines,75,No,No
A16,A16,normal,Macpherson,0,No,Yes
A29,A29,normal,Novena,46,No,No
A28,A28,normal,Tanglin,38,No,No
A59,A59,normal,Telok Blangah,20,No,No
A76,A76,normal,Kembangan,31,No,No
A32,A32,normal,Farrer Park,67,No,No
A32,A32,normal,Chai Chee,69,No,No
A35,A35,normal,Admiralty,32,No,No
A66,A66,normal,Yishun,73,No,No
A18,A18,normal,Bukit Batok,42,No,No
A97,A97,overspeed,Yishun,33,Yes,No
A91,A91,normal,Woodlands,69,No,No
A78,A78,normal,Little India,41,No,No
A30,A30,normal,Yishun,23,No,No
A40,A40,normal,Farrer Park,61,No,No
A75,A75,lane departure,Clementi,41,Yes,No
A73,A73,normal,Punggol,22,No,No
A71,A71,normal,Kent Ridge,68,No,No
A94,A94,normal,Little India,41,No,No
A84,A84,normal,Hougang,21,No,No
A40,A40,normal,Yishun,47,No,No
A11,A11,normal,Yishun,24,No,No
A61,A61,normal,Bukit Batok,33,No,No
A68,A68,normal,Bukit Gombak,0,No,Yes
A99,A99,normal,Eunos,55,No,No
A2,A2,normal,Redhill,20,No,No
A90,A90,normal,Bishan,20,No,No
A88,A88,normal,Marine Parade,0,No,Yes
A35,A35,normal,Bukit Merah,25,No,No
A79,A79,normal,Jurong East,0,No,Yes
A94,A94,normal,Bishan,72,No,No
A7,A7,normal,Tampines,0,No,Yes
A31,A31,normal,Tampines,0,No,Yes
A9,A9,normal,Boon Lay,54,No,No
A9,A9,unsafe following distance,Boon Lay,63,Yes,No
A20,A20,normal,Bukit Panjang,24,No,No
A70,A70,normal,Teban Gardens,19,No,No
A50,A50,normal,Hougang,43,No,No
A21,A21,normal,Pasir Ris,0,No,Yes
A34,A34,normal,Marine Parade,51,No,No
A85,A85,normal,Bukit Panjang,33,No,No
A5,A5,normal,Boon Keng,46,No,No
A62,A62,normal,Tampines,22,No,No
A52,A52,normal,Toa Payoh,0,No,Yes
A63,A63,normal,Bishan,74,No,No
A12,A12,normal,Yishun,58,No,No
A71,A71,normal,Kovan,73,No,No
A39,A39,normal,Little India,0,No,Yes
A81,A81,normal,Marsiling,45,No,No
A7,A7,normal,Marine Parade,40,No,No
A33,A33,normal,Clementi,0,No,Yes
A6,A6,normal,Bukit Gombak,70,No,No
A24,A24,normal,Bukit Merah,63,No,No
A59,A59,normal,Choa Chu Kang,39,No,No
A79,A79,normal,Novena,75,No,No
A100,A100,normal,Sengkang,43,No,No
A38,A38,normal,Bukit Batok,46,No,No
A46,A46,normal,Bukit Batok,68,No,No
A49,A49,normal,Yishun,75,No,No
A72,A72,normal,Bouna Vista,0,No,Yes
A38,A38,normal,Marine Parade,61,No,No
A80,A80,unsafe following distance,Potong Pasir,28,Yes,No
A64,A64,normal,Toa Payoh,75,No,No
A35,A35,normal,Admiralty,0,No,Yes
A38,A38,normal,Tampines,16,No,No
A68,A68,normal,Kembangan,0,No,Yes
A95,A95,normal,Bouna Vista,67,No,No
A12,A12,normal,Newton,37,No,No
A53,A53,normal,Yishun,75,No,No
A76,A76,normal,Yishun,50,No,No
A19,A19,normal,Queenstown,50,No,No
A68,A68,normal,Bukit Batok,22,No,No
A96,A96,normal,Newton,0,No,Yes
A38,A38,normal,Marine Parade,61,No,No
A68,A68,normal,Kembangan,16,No,No
A36,A36,normal,Yishun,48,No,No
A60,A60,normal,Simei,23,No,No
A52,A52,normal,Novena,71,No,No
A91,A91,unsafe following distance,Yishun,43,Yes,No
A59,A59,unsafe following distance,Telok Blangah,43,Yes,No
A91,A91,normal,Woodlands,61,No,No
A55,A55,normal,Macpherson,67,No,No
A76,A76,normal,Potong Pasir,0,No,Yes
A61,A61,normal,Tampines,0,No,Yes
A85,A85,lane departure,Potong Pasir,55,Yes,No
A83,A83,normal,Bukit Batok,28,No,No
A92,A92,normal,Tampines,19,No,No
A40,A40,normal,Tampines,68,No,No
A11,A11,normal,Hougang,25,No,No
A12,A12,normal,Yishun,0,No,Yes
A90,A90,normal,Little India,0,No,Yes
A40,A40,normal,Chai Chee,15,No,No
A65,A65,normal,Alexandra,0,No,Yes
A38,A38,normal,Tampines,55,No,No
A2,A2,normal,Yio Chu Kang,39,No,No
A59,A59,normal,Little India,30,No,No
A38,A38,normal,Queenstown,68,No,No
A28,A28,normal,Tanglin,69,No,No
A86,A86,normal,Telok Blangah,0,No,Yes
A78,A78,normal,Boon Keng,0,No,Yes
A75,A75,normal,Choa Chu Kang,46,No,No
A5,A5,normal,Telok Blangah,22,No,No
A39,A39,normal,Yio Chu Kang,75,No,No
A27,A27,normal,Paya Lebar,37,No,No
A48,A48,normal,Woodlands,0,No,Yes
A8,A8,normal,Tampines,0,No,Yes
A5,A5,normal,Boon Keng,37,No,No
A31,A31,normal,Yishun,40,No,No
A94,A94,overspeed,Jurong East,77,Yes,No
A24,A24,normal,Boon Keng,15,No,No
A73,A73,overspeed,Hougang,81,Yes,No
A76,A76,normal,Marine Parade,0,No,Yes
A62,A62,normal,Little India,71,No,No
A57,A57,normal,Geylang,64,No,No
A71,A71,lane departure,Bishan,0,Yes,Yes
A94,A94,normal,Jurong East,40,No,No
A44,A44,normal,Yishun,59,No,No
A8,A8,normal,Admiralty,17,No,No
A28,A28,lane departure,Boon Keng,74,Yes,No
A3,A3,normal,Ang Mo Kio,0,No,Yes
A5,A5,normal,Boon Keng,58,No,No
A100,A100,normal,Newton,17,No,No
A100,A100,normal,Yishun,0,No,Yes
A91,A91,normal,Yishun,54,No,No
A3,A3,normal,Marine Parade,44,No,No
A12,A12,normal,Yishun,33,No,No
A45,A45,normal,Serangoon,33,No,No
A37,A37,normal,Sembawang,0,No,Yes
A59,A59,normal,Woodlands,49,No,No
A10,A10,normal,Simei,18,No,No
A75,A75,normal,Jurong East,0,No,Yes
A17,A17,normal,Yio Chu Kang,40,No,No
A98,A98,unsafe following distance,Bishan,33,Yes,No
A67,A67,normal,Little India,49,No,No
A97,A97,normal,Tanglin,34,No,No
A44,A44,normal,Woodlands,31,No,No
A4,A4,normal,Punggol,0,No,Yes
A13,A13,normal,Pasir Ris,46,No,No
A80,A80,normal,Potong Pasir,60,No,No
A32,A32,normal,Chai Chee,36,No,No
A63,A63,normal,Kovan,31,No,No
A85,A85,normal,Tampines,57,No,No
A60,A60,normal,Simei,58,No,No
A94,A94,normal,Pasir Ris,58,No,No
A63,A63,normal,Woodlands,59,No,No
A84,A84,normal,Bukit Batok,34,No,No
A1,A1,normal,Queenstown,75,No,No
A32,A32,normal,Little India,26,No,No
A5,A5,normal,Tanglin,27,No,No
A4,A4,normal,Potong Pasir,72,No,No
A91,A91,normal,Chai Chee,0,No,Yes
A39,A39,normal,Admiralty,29,No,No
A13,A13,normal,Tanglin,43,No,No
A38,A38,normal,Tampines,23,No,No
A66,A66,normal,Yio Chu Kang,54,No,No
A16,A16,normal,Little India,0,No,Yes
A90,A90,normal,Tanglin,19,No,No
A94,A94,normal,Yio Chu Kang,64,No,No
A89,A89,normal,Queenstown,41,No,No
A32,A32,normal,Boon Lay,46,No,No
A43,A43,normal,Yishun,67,No,No
A88,A88,normal,Jurong East,0,No,Yes
A17,A17,normal,Pasir Ris,20,No,No
A82,A82,normal,Tanglin,31,No,No
A43,A43,normal,Yio Chu Kang,0,No,Yes
A7,A7,normal,Geylang,61,No,No
A9,A9,lane departure,Chai Chee,74,Yes,No
A55,A55,normal,Boon Lay,75,No,No
A22,A22,normal,Bukit Batok,58,No,No
A56,A56,normal,Choa Chu Kang,74,No,No
A100,A100,normal,Tampines,0,No,Yes
A39,A39,normal,Little India,49,No,No
A26,A26,normal,Alexandra,20,No,No
A40,A40,normal,Pasir Laba,37,No,No
A11,A11,normal,Bukit Batok,53,No,No
A6,A6,normal,Clementi,36,No,No
A32,A32,normal,Boon Keng,0,No,Yes
A60,A60,normal,Simei,23,No,No
A39,A39,normal,Newton,0,No,Yes
A8,A8,normal,Tampines,36,No,No
A89,A89,normal,Bukit Panjang,16,No,No
A36,A36,normal,Tanglin,55,No,No
A25,A25,normal,Bishan,64,No,No
A98,A98,normal,Clementi,74,No,No
A9,A9,normal,Boon Keng,40,No,No
A53,A53,normal,Tampines,37,No,No
A73,A73,normal,Bedok,70,No,No
A4,A4,normal,Punggol,0,No,Yes
A96,A96,normal,Hougang,16,No,No
A37,A37,unsafe following distance,Bukit Batok,0,Yes,Yes
A60,A60,normal,Woodlands,22,No,No
A43,A43,lane departure,Yio Chu Kang,74,Yes,No
A24,A24,normal,Tanglin,0,No,Yes
A73,A73,normal,Bedok,58,No,No
A39,A39,normal,Yishun,23,No,No
A11,A11,normal,Jurong East,0,No,Yes
A18,A18,normal,Tampines,41,No,No
A93,A93,normal,Bukit Merah,0,No,Yes
A5,A5,normal,Tanglin,0,No,Yes
A55,A55,normal,Yishun,50,No,No
A41,A41,normal,Bukit Batok,0,No,Yes
A89,A89,normal,Admiralty,45,No,No
A71,A71,overspeed,Woodlands,91,Yes,No
A72,A72,normal,Yishun,61,No,No
A60,A60,normal,Sembawang,0,No,Yes
A88,A88,normal,Marine Parade,25,No,No
A33,A33,normal,Toa Payoh,0,No,Yes
A31,A31,normal,Admiralty,0,No,Yes
A57,A57,normal,Bukit Batok,0,No,Yes
A8,A8,normal,Punggol,69,No,No
A43,A43,normal,Yio Chu Kang,75,No,No
A99,A99,normal,Eunos,27,No,No
A6,A6,normal,Novena,22,No,No
A100,A100,normal,Tampines,0,No,Yes
A92,A92,normal,Geylang,23,No,No
A48,A48,unsafe following distance,Woodlands,16,Yes,No
A4,A4,normal,Marsiling,73,No,No
A72,A72,normal,Serangoon,0,No,Yes
A57,A57,normal,Ang Mo Kio,17,No,No
A3,A3,normal,Serangoon,18,No,No
A65,A65,normal,Yishun,63,No,No
A16,A16,normal,Yio Chu Kang,27,No,No
A69,A69,normal,Queenstown,22,No,No
A40,A40,normal,Kovan,55,No,No
A45,A45,normal,Woodlands,29,No,No
A29,A29,normal,Redhill,20,No,No
A17,A17,normal,Woodlands,0,No,Yes
A56,A56,normal,Novena,54,No,No
A14,A14,normal,Bukit Batok,16,No,No
A6,A6,normal,Aljunied,0,No,Yes
A76,A76,normal,Tampines,17,No,No
A69,A69,normal,Tampines,40,No,No
A31,A31,normal,Newton,40,No,No
A4,A4,normal,Sengkang,70,No,No
A8,A8,normal,Punggol,46,No,No
A14,A14,lane departure,Bukit Gombak,48,Yes,No
A48,A48,normal,Jurong East,47,No,No
A10,A10,normal,Simei,26,No,No
A32,A32,normal,Tanglin,39,No,No
A36,A36,normal,Pasir Laba,34,No,No
A78,A78,normal,Little India,75,No,No
A32,A32,normal,Farrer Park,0,No,Yes
A57,A57,normal,Yishun,0,No,Yes
A92,A92,normal,Bukit Batok,64,No,No
A78,A78,normal,Bukit Panjang,44,No,No
A56,A56,normal,Novena,20,No,No
A20,A20,normal,Bukit Merah,69,No,No
A13,A13,normal,Pasir Laba,60,No,No
A7,A7,normal,Yishun,42,No,No
A32,A32,normal,Pasir Laba,0,No,Yes
A89,A89,normal,Bukit Panjang,0,No,Yes
A70,A70,normal,Yio Chu Kang,53,No,No
A53,A53,normal,Serangoon,19,No,No
A29,A29,lane departure,Novena,24,Yes,No
A51,A51,normal,Pasir Laba,69,No,No
A13,A13,normal,Pasir Laba,64,No,No
A49,A49,normal,Kembangan,40,No,No
A69,A69,normal,Hougang,57,No,No
A10,A10,normal,Bukit Gombak,45,No,No
A51,A51,normal,Little India,44,No,No
A56,A56,normal,Aljunied,27,No,No
A71,A71,normal,Yishun,16,No,No
A56,A56,normal,Sembawang,44,No,No
A6,A6,normal,Novena,56,No,No
A36,A36,normal,Tanglin,0,No,Yes
A46,A46,normal,Boon Lay,0,No,Yes
A80,A80,normal,Jurong East,0,No,Yes
A49,A49,normal,Kembangan,75,No,No
A31,A31,normal,Yishun,71,No,No
A99,A99,normal,Eunos,50,No,No
A33,A33,normal,Novena,0,No,Yes
A79,A79,normal,Woodlands,0,No,Yes
A56,A56,normal,Sembawang,37,No,No
A82,A82,normal,Tanglin,72,No,No
A87,A87,normal,Simei,31,No,No
A100,A100,normal,Sengkang,60,No,No
A39,A39,unsafe following distance,Admiralty,40,Yes,No
A46,A46,normal,Queenstown,0,No,Yes
A38,A38,normal,Yishun,15,No,No
A30,A30,normal,Jurong East,17,No,No
A66,A66,normal,Clementi,69,No,No
A57,A57,normal,Yishun,0,No,Yes
A38,A38,normal,Queenstown,46,No,No
A55,A55,normal,Bukit Panjang,19,No,No
A65,A65,normal,Yishun,0,No,Yes
A21,A21,normal,Yishun,0,No,Yes
A69,A69,normal,Yishun,21,No,No
A51,A51,normal,Boon Keng,0,No,Yes
A10,A10,unsafe following distance,Toa Payoh,0,Yes,Yes
A84,A84,normal,Tampines,17,No,No
