Product Link,Product Name,Selling Price,Price Before Discount,DiscountPercentage,Bundle Offer,Free Shipping,Shipping Price,Quantity Sold,Brand of Product,Overall Product Rating,Rating with Photo,Rating with comments,Amount in Wishlist,Store Name,Store Rating,No. of Products sold by store,Store Response Rate,Store Time taken to respond,Store Joined time,Store Follower Count
/Couple-Summer-Sandals-Slipper-Indoor-Outdoor-Flip-Flops-Beach-Shoes-i.163495630.2661149859,Couple Summer Sandals Slipper Indoor Outdoor Flip-Flops Beach Shoes,$19.00 ,$60.00 ,68% off,Any 2 enjoy $1.50 off,Free shipping for orders over $20,$0.00 - $1.00,1,No Brand,No Ratings Yet,0,0,45,npjxmall.sg,12,379,57%,within hours,59 days ago,257
/Npjxmall-Hot-saleMen-Summer-Camouflage-Flip-Flops-Shoes-Sandals-Slipper-i.163495630.2489371227,Npjxmall Hot saleMen Summer Camouflage Flip Flops Shoes Sandals Slipper,$15.90 ,$27.80 ,43% off,Any 2 enjoy $1.50 off,Free shipping for orders over $20,$0.00 - $1.00,9,No Brand,5,3,4,95,npjxmall.sg,12,379,57%,within hours,59 days ago,257
/Fipper-Basic-S-Blue-Sky-For-Women-i.159348986.2534673326,Fipper Basic - S Blue Sky For Women,$8.06 ,$10.90 ,26% off,No Bundles Avaliable,Free shipping,$0.00 ,0,Fipper,No Ratings Yet,0,0,0,fipper_singapore,3,59,0%,within hours,2 months ago,31
/Fipper-Basic-Black-for-Men-i.159348986.2533822409,Fipper Basic Black for Men,$8.06 ,$10.90 ,26% off,No Bundles Avaliable,Free shipping,$0.00 ,1,Fipper,5,0,1,0,fipper_singapore,3,59,0%,within hours,2 months ago,31
/Ready-stock!-P-u-M-a-Women's-summer-slipper-shoes-i.76621355.1901392256,Ready stock! P u M a Women's summer slipper  shoes,$23.00 ,$38.00 ,39% off,Any 2 enjoy $3.00 off,Free shipping for orders over $20,$0.00 ,173,No Brand,4.9,27,41,444,dimmoshop.sg,277,437,91%,within hours,15 months ago,553
/Couple-Sandals-Men-Women-Korean-Casual-Slipper-Black-and-White-i.114053150.2212145621,Couple Sandals Men Women Korean Casual Slipper Black and White,$12.00 ,$19.00 ,37% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,5,No Brand,1,0,1,16,maotouying.sg,174,107,40%,within hours,9 months ago,388
/Vietnam-Sandals-Thick-Bottom-Flat-Anti-slip-Men-Women-Shoes-Couple-Slippers-i.17077805.178316904,Vietnam Sandals Thick Bottom Flat Anti-slip Men Women Shoes Couple Slippers,$15.90 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,20,No brand,4.7,1,2,148,candyhouse.sg,620,185,10%,within days,31 months ago,295
/Trend-Summer-GD-Korean-version-slippers-men-fashion-anti-skid-couple-shoe-b-i.111640885.1926931095,Trend Summer GD Korean version slippers men fashion anti-skid couple shoe b,$7.00 - $8.00,No Discount,No Discount,No Bundles Avaliable,No Free Shipping,$1.00 ,2,No Brand,5,1,1,9,supermallshow.sg,367,3851,53%,within hours,9 months ago,112
/Slippers-men-summer-couple-indoor-outside-wear-anti-skid-soft-bottom-bathroom-i.111640885.1962253443,Slippers men summer couple indoor outside wear anti-skid soft bottom bathroom ,$10.00 ,No Discount,No Discount,No Bundles Avaliable,No Free Shipping,$1.00 ,3,No Brand,5,0,0,16,supermallshow.sg,367,3851,53%,within hours,9 months ago,112
/new-thickening-flying-man-slippers-men-and-women-summer-velcro-sandals-i.155979758.2656263077,new thickening flying man slippers men and women summer velcro sandals,$17.97 ,$27.24 ,34% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,0,No Brand,No Ratings Yet,0,0,1,vn1n.sip.sg,2,1541,62%,within days,3 months ago,0
/Emoji-Print-Ladies-Men-Winter-Warm-House-Slippers-i.64376286.1482489515, PreferredEmoji Print Ladies Men Winter Warm House Slippers,$2.46 ,$3.00 ,18% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,37,No brand,4.8,2,8,26,mena.sg,6019,5436,95%,within hours,17 months ago,871
/Comfortable-Anti-Slip-Men-Women-Lovers-Indoor-Slippers-Shoes-Winter-Keep-Warm-i.9176579.1400647707, PreferredComfortable Anti-Slip Men Women Lovers Indoor Slippers Shoes Winter Keep Warm,$8.80 ,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,2,No Brand,4.5,1,2,2,chiclady.sg,6365,5493,93%,within hours,3 years ago,1372
/nike-benassi-jdi-slippers-men-and-women-powder-black-white-letters-beach-cool-sl-i.173250584.2740880338,nike benassi jdi slippers men and women powder black white letters beach cool sl,$17.23 ,No Discount,No Discount,No Bundles Avaliable,No Free Shipping,$0.00 ,1,No Brand,No Ratings Yet,0,0,1,cxx8888.sg,0,13,57%,within hours,20 days ago,0
/Fashion-Men-Women-Linen-Indoor-Home-Slippers-Home-Garden-Household-Slippers-i.64909117.1635195226, PreferredFashion Men Women Linen Indoor Home Slippers Home Garden Household Slippers,$3.27 ,$4.42 ,26% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,46,No Brand,4.8,2,4,18,ikon.sg,16932,5133,93%,within hours,17 months ago,3512
/CHDready-stockSummer-Women-Men-Slipper-Ultra-Light-Anti-skid-EVA-Sole-Casual-Indoor-Slippers-i.9176579.1803563139, PreferredCHDready stockSummer Women Men Slipper Ultra Light Anti-skid EVA Sole Casual Indoor Slippers,$6.70 - $9.20,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,3,No Brand,5,0,0,4,chiclady.sg,6365,5493,93%,within hours,3 years ago,1372
/Men-Women-Vogue-Winter-Warm-Slippers-Indoor-Floor-Shoes-Non-slip-House-Shoes-i.64909117.1515683272, PreferredMen Women Vogue  Winter Warm Slippers Indoor Floor Shoes Non-slip House Shoes,$2.62 ,$3.55 ,26% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,83,No Brand,4.7,2,6,50,ikon.sg,16932,5133,93%,within hours,17 months ago,3512
/Women-Man-Home-Slippers-Cartoon-Non-slip-Warm-Indoors-Bedroom-Floor-Shoes-Hot-i.89948967.2064911808, PreferredWomen Man Home Slippers Cartoon Non-slip Warm Indoors Bedroom Floor Shoes Hot,$3.61 - $3.73,$6.56 - $6.75,45% off,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,8,No Brand,4.5,3,3,10,pinkone.sg,492,5708,100%,within hours,12 months ago,52
/Soft-Soled-Men-Women-Summer-Slippers-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.9176579.1408267011, PreferredSoft Soled Men Women Summer Slippers Cute Cat Pattern Non-slip Couple Slippers,$8.20 - $10.80,No Discount,No Discount,No Bundles Avaliable,Free shipping for orders over $20,$0.00 - $1.00,1,No Brand,5,0,0,0,chiclady.sg,6365,5493,93%,within hours,3 years ago,1372
/Soft-Soled-Men-Women-Summer-Slippers-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.9690513.1672898971, PreferredSoft Soled Men Women Summer Slippers Cute Cat Pattern Non-slip Couple Slippers,$4.42 - $4.81,$6.80 ,35% off,No Bundles Avaliable,Free shipping,$0.00 ,8,No Brand,5,0,1,9,blingbling.sg,14331,2896,94%,within hours,3 years ago,2406
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
/TMRSoft-Soled-Men-Women-Summer-Cute-Cat-Pattern-Non-slip-Couple-Slippers-i.8715449.1663149909,TMRSoft Soled Men Women Summer Cute Cat Pattern Non-slip Couple Slippers,$3.60 ,No Discount,No Discount,No Bundles Avaliable,Free shipping,$0.00 ,39,No Brand,4.8,2,3,67,timemaster.sg,11883,4985,94%,within hours,3 years ago,2447
